Firm,Investment Stage,Minimum Investment,Maximum Investment,Location,Country,Fund Size,Link
"Warburg Pincus-Hong Kong-Hong Kong","Later Stage/Early Stage/Expansion/Startup/Seed","","2000000000.0","Hong Kong","Hong Kong","30000000000.0","http://venture-capital-firms.findthebest.com/l/379/Warburg-Pincus-Hong-Kong-Hong-Kong"
"Ben Franklin Technology Partners-Harrisburg-Pennsylvania","Early Stage/Expansion","","","Harrisburg, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/365/Ben-Franklin-Technology-Partners-Harrisburg-Pennsylvania"
"TeleSoft Partners","Early Stage/Expansion/Later Stage","1000000.0","15000000.0","Foster City, California","United States","625000000.0","http://venture-capital-firms.findthebest.com/l/602/TeleSoft-Partners"
"NGN Capital","Early Stage/Expansion/Later Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1347/NGN-Capital"
"Palomar Ventures - Irvine - California","Early Stage/Startup/Seed","2000000.0","10000000.0","Irvine, California","United States","500000000.0","http://venture-capital-firms.findthebest.com/l/821/Palomar-Ventures-Irvine-California"
"Crispian Venture Capital, LLC","Startup/Seed/Early Stage","","","Plano, Texas","United States","","http://venture-capital-firms.findthebest.com/l/1055/Crispian-Venture-Capital-LLC"
"Opus Capital","Early Stage","","","Menlo Park, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/1355/Opus-Capital"
"Sierra Angels","Early Stage","","","Incline Village, Nevada","United States","","http://venture-capital-firms.findthebest.com/l/1375/Sierra-Angels"
"Oak Investment Partners-Minneapolis-Minnesota","Later Stage/Expansion/Early Stage/Startup/Seed","","50000000000.0","Minneapolis, Minnesota","United States","8400000000.0","http://venture-capital-firms.findthebest.com/l/243/Oak-Investment-Partners-Minneapolis-Minnesota"
"Selby Venture Partners","Later Stage/Expansion/Early Stage/Startup/Seed","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/76/Selby-Venture-Partners"
"Sail Venture Partners-Irvine-California","Early Stage/Startup/Seed/Expansion","","","Irvine, California","United States","","http://venture-capital-firms.findthebest.com/l/241/Sail-Venture-Partners-Irvine-California"
"Insight Venture Partners","Early Stage/Expansion/Later Stage/Startup/Seed","","2e+11","New York, New York","United States","5000000000.0","http://venture-capital-firms.findthebest.com/l/885/Insight-Venture-Partners"
"Intel Capital","Early Stage/Expansion","","1000000.0","Santa Clara, California","United States","750000000.0","http://venture-capital-firms.findthebest.com/l/171/Intel-Capital"
"ABS Ventures","Early Stage/Expansion","","","Waltham, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/1186/ABS-Ventures"
"Life Sciences Greenhouse of Central Pensylvania","Startup/Seed/Early Stage/Expansion","","","Harrisburg, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/1321/Life-Sciences-Greenhouse-of-Central-Pensylvania"
"Massachusetts Technology Development Corporation (MTDC)","Early Stage/Startup/Seed","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/1123/Massachusetts-Technology-Development-Corporation-MTDC"
"Pinnacle Ventures","Expansion/Later Stage","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/1360/Pinnacle-Ventures"
"Apax Partners, Inc. - Hong Kong","Later Stage/Expansion/Early Stage/Startup/Seed","","60000000.0","Central Hong Kong","Hong Kong","109000000.0","http://venture-capital-firms.findthebest.com/l/138/Apax-Partners-Inc-Hong-Kong"
"Innovations Kapital","Expansion/Early Stage/Startup/Seed","","","G̦teborg","Sweden","420000000.0","http://venture-capital-firms.findthebest.com/l/1140/Innovations-Kapital"
"Kleiner Perkins Caufield &amp; Byers- Shanghai","Early Stage/Startup/Seed/Expansion","","75000000000.0","Shanghai","","1430000000.0","http://venture-capital-firms.findthebest.com/l/269/Kleiner-Perkins-Caufield-And-Byers-Shanghai"
"Sail Venture Partners-New York-New York","Early Stage/Startup/Seed/Expansion","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/240/Sail-Venture-Partners-New-York-New-York"
"Schroder Ventures Life Sciences - London - UK","Startup/Seed/Early Stage","1000000000.0","40000000000.0","London","","2000000000.0","http://venture-capital-firms.findthebest.com/l/84/Schroder-Ventures-Life-Sciences-London-UK"
"Founders Fund","Startup/Seed/Early Stage/Expansion/Later Stage","10000000000.0","20000000000.0","San Francisco, California","United States","1150000000.0","http://venture-capital-firms.findthebest.com/l/841/Founders-Fund"
"Intersouth Partners","Early Stage","","6000000.0","Durham, North Carolina","United States","780000000.0","http://venture-capital-firms.findthebest.com/l/697/Intersouth-Partners"
"Frazier Healthcare and Technology Ventures-Menlo Park-California","Expansion/Later Stage/Early Stage/Startup/Seed","","10000000000.0","Menlo Park, California","United States","1800000000.0","http://venture-capital-firms.findthebest.com/l/525/Frazier-Healthcare-and-Technology-Ventures-Menlo-Park-California"
"FirstMark Capital","Startup/Seed/Early Stage","","1000000.0","New York, New York","United States","225000000.0","http://venture-capital-firms.findthebest.com/l/793/FirstMark-Capital"
"NGEN-New York-New York","Early Stage","3000000.0","15000000.0","New York, New York","United States","500000000.0","http://venture-capital-firms.findthebest.com/l/218/NGEN-New-York-New-York"
"BCM Technologies-Houston-Texas","Early Stage/Startup/Seed","","","Houston, Texas","United States","","http://venture-capital-firms.findthebest.com/l/48/BCM-Technologies-Houston-Texas"
"Sprout Group","Early Stage/Later Stage","","15000000000.0","New York, New York","United States","3000000000.0","http://venture-capital-firms.findthebest.com/l/318/Sprout-Group"
"Longitude Capital Management Company LLC - Menlo Park - California","Later Stage/Expansion/Early Stage/Startup/Seed","10000000.0","30000000.0","Menlo Park, California","United States","700000000.0","http://venture-capital-firms.findthebest.com/l/645/Longitude-Capital-Management-Company-LLC-Menlo-Park-California"
"Draper International","Early Stage","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/435/Draper-International"
"New Mexico Community Capital","Early Stage/Expansion","","","Albuquerque, New Mexico","United States","15000000.0","http://venture-capital-firms.findthebest.com/l/1341/New-Mexico-Community-Capital"
"Total Technology Ventures LLC","Early Stage/Later Stage","","","Atlanta, Georgia","United States","","http://venture-capital-firms.findthebest.com/l/607/Total-Technology-Ventures-LLC"
"Menlo Ventures","Later Stage/Expansion/Early Stage/Startup/Seed","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/575/Menlo-Ventures"
"Quotidian Ventures","Startup/Seed/Early Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1367/Quotidian-Ventures"
"TAT Capital Partners Ltd.","Early Stage","","","Oberrohrdorf","Switzerland","","http://venture-capital-firms.findthebest.com/l/229/TAT-Capital-Partners-Ltd"
"Mission Ventures-San Diego-California","Early Stage","","","San Diego, California","United States","","http://venture-capital-firms.findthebest.com/l/259/Mission-Ventures-San-Diego-California"
"Walden International-Palo Alto-California","Early Stage/Expansion/Startup/Seed","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/350/Walden-International-Palo-Alto-California"
"VCE Capital-New Orleans-Louisiana","Early Stage/Expansion","","","New Orleans, Louisiana","United States","","http://venture-capital-firms.findthebest.com/l/752/VCE-Capital-New-Orleans-Louisiana"
"Arboretum Ventures - Cleveland","Early Stage/Startup/Seed","8000000.0","12000000.0","Cleveland, Ohio","United States","235000000.0","http://venture-capital-firms.findthebest.com/l/1014/Arboretum-Ventures-Cleveland"
"Greylock Partners- China","Early Stage/Startup/Seed","","10000000000.0","Beijing","China","2000000000.0","http://venture-capital-firms.findthebest.com/l/934/Greylock-Partners-China"
"Intelligent Systems Corporation","Early Stage","","","Norcross, Georgia","United States","","http://venture-capital-firms.findthebest.com/l/1098/Intelligent-Systems-Corporation"
"D. E. Shaw Group, The-Bermuda","Early Stage","","20000000000.0","Hamilton","Bermuda","28000000000.0","http://venture-capital-firms.findthebest.com/l/447/D-E-Shaw-Group-The-Bermuda"
"Transmedia Capital","Early Stage/Startup/Seed","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/887/Transmedia-Capital"
"Greylock Partners- Israel","Early Stage/Startup/Seed","","10000000000.0","Herzliya, Tel Aviv","Israel","2000000000.0","http://venture-capital-firms.findthebest.com/l/278/Greylock-Partners-Israel"
"Craton Equity Partners","Early Stage","","","Beverly Hills, California","United States","","http://venture-capital-firms.findthebest.com/l/1235/Craton-Equity-Partners"
"Prospect Venture Partners","Later Stage/Expansion/Early Stage/Startup/Seed","","20000000000.0","Palo Alto, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/119/Prospect-Venture-Partners"
"General Atlantic-New York","","75000000000.0","4e+11","New York, New York","United States","17000000000.0","http://venture-capital-firms.findthebest.com/l/501/General-Atlantic-New-York"
"Needham Capital Partners-Boston-Massachusetts","Early Stage","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/205/Needham-Capital-Partners-Boston-Massachusetts"
"Vista Ventures","Early Stage","","","Boulder, Colorado","United States","","http://venture-capital-firms.findthebest.com/l/743/Vista-Ventures"
"Carlyle Group, The - Stockholm - Sweden","Expansion/Early Stage","","","Stockholm","Sweden","1.7e+11","http://venture-capital-firms.findthebest.com/l/471/Carlyle-Group-The-Stockholm-Sweden"
"BioMotiv","Startup/Seed/Early Stage","","","Shaker Heights","United States","","http://venture-capital-firms.findthebest.com/l/1433/BioMotiv"
"Lightspeed Venture Partners-New Delhi-India","Early Stage/Expansion/Startup/Seed","1000000000.0","25000000000.0","New Delhi, New Delhi","India","2000000000.0","http://venture-capital-firms.findthebest.com/l/838/Lightspeed-Venture-Partners-New-Delhi-India"
"H.I.G. Capital Ventures LLC-Atlanta-Georgia","Early Stage","15000000000.0","1e+11","Atlanta, Georgia","United States","11500000000.0","http://venture-capital-firms.findthebest.com/l/536/H-I-G-Capital-Ventures-LLC-Atlanta-Georgia"
"Kentucky Seed Capital Fund - Louisville","Early Stage/Startup/Seed","","","Louisville, Kentucky","United States","5000000.0","http://venture-capital-firms.findthebest.com/l/1102/Kentucky-Seed-Capital-Fund-Louisville"
"Crosslink Capital","Early Stage/Expansion/Later Stage/Startup/Seed","","10000000.0","San Francisco, California","United States","600000000.0","http://venture-capital-firms.findthebest.com/l/299/Crosslink-Capital"
"Azure Capital Partners","Early Stage","","","San Francisco, California","United States","750000000.0","http://venture-capital-firms.findthebest.com/l/1205/Azure-Capital-Partners"
"Childress Capital Funding","Later Stage/Expansion/Early Stage/Startup/Seed","","","Albuquerque, New Mexico","United States","","http://venture-capital-firms.findthebest.com/l/1182/Childress-Capital-Funding"
"TA Associates, Inc-Mumbai-India","Expansion","50000000000.0","5e+11","Worli, Mumbai, Maharashtra","India","18000000000.0","http://venture-capital-firms.findthebest.com/l/230/TA-Associates-Inc-Mumbai-India"
"Village Ventures - Denver - Colorado","Early Stage/Startup/Seed","","","Denver, Colorado","United States","","http://venture-capital-firms.findthebest.com/l/628/Village-Ventures-Denver-Colorado"
"Accel Partners-Silicon Valley","Early Stage/Expansion/Growth/Startup/Seed","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/13/Accel-Partners-Silicon-Valley"
"Access Venture Partners - Denver","Early Stage","","","Westminster, Colorado","United States","","http://venture-capital-firms.findthebest.com/l/967/Access-Venture-Partners-Denver"
"Integra Ventures","Early Stage/Later Stage","","","Seattle, Washington","United States","","http://venture-capital-firms.findthebest.com/l/696/Integra-Ventures"
"Silas Capital","Early Stage/Growth/Expansion","","4000000.0","New York, New York","United States","30000000.0","http://venture-capital-firms.findthebest.com/l/884/Silas-Capital"
"BG Ventures","Startup/Seed/Early Stage","","","Croton-on-Hudson, New York","United States","","http://venture-capital-firms.findthebest.com/l/1211/BG-Ventures"
"Fluke Venture Partners","Expansion/Later Stage","","","Kirkland, Washington","United States","65000000.0","http://venture-capital-firms.findthebest.com/l/1272/Fluke-Venture-Partners"
"Carlyle Group, The - Luxembourg","Expansion/Early Stage","","","","Luxembourg","1.7e+11","http://venture-capital-firms.findthebest.com/l/901/Carlyle-Group-The-Luxembourg"
"Linsalata Capital Partners","","10000000000.0","50000000000.0","Mayfield Heights, Ohio","United States","3000000000.0","http://venture-capital-firms.findthebest.com/l/644/Linsalata-Capital-Partners"
"Golden Seeds","Startup/Seed","","1000000.0","New York, New York","United States","30000000.0","http://venture-capital-firms.findthebest.com/l/1281/Golden-Seeds"
"Eureka Growth Capital","","","","Philadelphia, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/1065/Eureka-Growth-Capital"
"Slater Technology Fund","Startup/Seed/Early Stage","","","Providence, Rhode Island","United States","","http://venture-capital-firms.findthebest.com/l/1381/Slater-Technology-Fund"
"FireStarter Fund","Startup/Seed/Early Stage/Expansion/Later Stage","","","Chicago, Illinois","United States","5700000.0","http://venture-capital-firms.findthebest.com/l/1270/FireStarter-Fund"
"DFJ Mercury-Austin-Texas","Early Stage/Startup/Seed","","","Austin, Texas","United States","","http://venture-capital-firms.findthebest.com/l/439/DFJ-Mercury-Austin-Texas"
"Solstice Capital","Early Stage/Startup/Seed","","5000000.0","Salem, Massachusetts","United States","85000000.0","http://venture-capital-firms.findthebest.com/l/685/Solstice-Capital"
"Mohr, Davidow Ventures","Early Stage/Startup/Seed","","","Menlo Park, California","United States","1850000000.0","http://venture-capital-firms.findthebest.com/l/256/Mohr-Davidow-Ventures"
"EPIC Ventures-Albuquerque-New mexico","Early Stage/Startup/Seed","","","Albuquerque, New Mexico","United States","","http://venture-capital-firms.findthebest.com/l/421/EPIC-Ventures-Albuquerque-New-mexico"
"GrowthWorks Capital","Expansion","","5000000.0","Vancouver, British Columbia","Canada","350000000.0","http://venture-capital-firms.findthebest.com/l/1286/GrowthWorks-Capital"
"Tenaya Capital - Woodside - California","Later Stage/Expansion/Early Stage","5000000000.0","10000000000.0","Woodside, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/866/Tenaya-Capital-Woodside-California"
"Impact Venture Partners","Early Stage","","","Austin, Texas","United States","","http://venture-capital-firms.findthebest.com/l/1145/Impact-Venture-Partners"
"Gentry Venture Partners","Expansion/Later Stage","","","Chicago, Illinois","United States","","http://venture-capital-firms.findthebest.com/l/1279/Gentry-Venture-Partners"
"Greenspring Associates","Later Stage","","","Owings Mills, Maryland","United States","2300000000.0","http://venture-capital-firms.findthebest.com/l/1285/Greenspring-Associates"
"HLM Venture Partners - Boston","Later Stage","","","Boston, Massachusetts","United States","100000000.0","http://venture-capital-firms.findthebest.com/l/1149/HLM-Venture-Partners-Boston"
"enVision Capital","Early Stage","","","Denver, Colorado","United States","","http://venture-capital-firms.findthebest.com/l/1264/enVision-Capital"
"Eastern Bell Venture Capital","Early Stage/Startup/Seed","","","Shanghai, Shanghai","China","","http://venture-capital-firms.findthebest.com/l/615/Eastern-Bell-Venture-Capital"
"Summit Partners - Palo Alto - California","Expansion","5000000000.0","5e+11","Palo Alto, California","United States","15000000000.0","http://venture-capital-firms.findthebest.com/l/323/Summit-Partners-Palo-Alto-California"
"The Social+Capital Partnership","Startup/Seed","","","Palo Alto, California","United States","450000000.0","http://venture-capital-firms.findthebest.com/l/1395/The-Social-Capital-Partnership"
"Moore Venture Partners","Early Stage/Expansion/Later Stage","","","","","","http://venture-capital-firms.findthebest.com/l/1336/Moore-Venture-Partners"
"Point Judith Capital","Early Stage/Startup/Seed","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/709/Point-Judith-Capital"
"Centripetal Capital Partners, LLC","Early Stage","","","Stamford, CT, Connecticut","United States","","http://venture-capital-firms.findthebest.com/l/1175/Centripetal-Capital-Partners-LLC"
"Cressey &amp; Company LP-Chicago-Illinois","Later Stage","10000000000.0","1e+11","Chicago, Illinois","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/88/Cressey-And-Company-LP-Chicago-Illinois"
"Founder Collective","Startup/Seed","50000000.0","","New York, New York","United States","110000000.0","http://venture-capital-firms.findthebest.com/l/868/Founder-Collective"
"Walden International-Taipei-Taiwan","Early Stage/Expansion/Startup/Seed","","","Taipei","Taiwan, Province Of China","","http://venture-capital-firms.findthebest.com/l/384/Walden-International-Taipei-Taiwan"
"Carlyle Group, The - Seoul - Korea","Expansion/Early Stage","","","Seoul","Korea, Republic of","1.7e+11","http://venture-capital-firms.findthebest.com/l/469/Carlyle-Group-The-Seoul-Korea"
"Link-age Ventures","Startup/Seed/Early Stage","","","Mason, Ohio","United States","","http://venture-capital-firms.findthebest.com/l/1323/Link-age-Ventures"
"Ascension Health Ventures-St. Louis-Missouri","Later Stage/Early Stage","10000000.0","15000000.0","Clayton, Missouri","United States","550000000.0","http://venture-capital-firms.findthebest.com/l/492/Ascension-Health-Ventures-St-Louis-Missouri"
"NewSpring Capital-Radnor-Pennsylvania","","5000000.0","50000000.0","Radnor, Pennsylvania","United States","900000000.0","http://venture-capital-firms.findthebest.com/l/654/NewSpring-Capital-Radnor-Pennsylvania"
"SAS Investors","Early Stage/Startup/Seed","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/666/SAS-Investors"
"IDG Ventures - Beijing - China","Early Stage","1000000000.0","5000000000.0","Beijing","","3700000000.0","http://venture-capital-firms.findthebest.com/l/162/IDG-Ventures-Beijing-China"
"Draper Richards L.P-Menlo Park-California","Early Stage/Startup/Seed","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/186/Draper-Richards-L-P-Menlo-Park-California"
"Warburg Pincus-Amsterdam-Netherlands","Later Stage/Early Stage/Expansion/Startup/Seed","","2000000000.0","Amsterdam","Netherlands","30000000000.0","http://venture-capital-firms.findthebest.com/l/371/Warburg-Pincus-Amsterdam-Netherlands"
"Kennet Partners- London","Early Stage/Expansion/Later Stage","10000000.0","100000000.0","London","United Kingdom","600000000.0","http://venture-capital-firms.findthebest.com/l/831/Kennet-Partners-London"
"Weston Presidio-Boston-Massachusetts","Expansion","10000000000.0","50000000000.0","Boston, Massachusetts","United States","3300000000.0","http://venture-capital-firms.findthebest.com/l/334/Weston-Presidio-Boston-Massachusetts"
"BVM Capital","Early Stage/Expansion","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1221/BVM-Capital"
"D. E. Shaw Group, The-Mumbai-India","Early Stage","","20000000000.0","Mumbai, Maharashtra","India","28000000000.0","http://venture-capital-firms.findthebest.com/l/441/D-E-Shaw-Group-The-Mumbai-India"
"NextView Ventures","Startup/Seed/Early Stage","","","Boston, Massachusetts","United States","21000000.0","http://venture-capital-firms.findthebest.com/l/1345/NextView-Ventures"
"Shepherd Ventures","Later Stage/Startup/Seed","","","San Diego, California","United States","","http://venture-capital-firms.findthebest.com/l/67/Shepherd-Ventures"
"Carlyle Group, The - Madrid - Spain","Expansion/Early Stage","","","Madrid","Spain","1.7e+11","http://venture-capital-firms.findthebest.com/l/902/Carlyle-Group-The-Madrid-Spain"
"Leo Capital Holdings,LLC","Early Stage/Later Stage","","","Northbrook, Illinois","United States","","http://venture-capital-firms.findthebest.com/l/641/Leo-Capital-Holdings-LLC"
"DC Community Ventures","Expansion/Later Stage","","","Georgetown","United States","","http://venture-capital-firms.findthebest.com/l/1242/DC-Community-Ventures"
"Foundry Group","Early Stage/Startup/Seed","","","Boulder, Colorado","United States","675000000.0","http://venture-capital-firms.findthebest.com/l/812/Foundry-Group"
"WRF Capital","Startup/Seed/Early Stage","","","Seattle, Washington","United States","","http://venture-capital-firms.findthebest.com/l/1417/WRF-Capital"
"Rand Capital Corporation","Early Stage/Startup/Seed","","","Buffalo, New York","United States","","http://venture-capital-firms.findthebest.com/l/586/Rand-Capital-Corporation"
"Cardinal Partners","Early Stage/Startup/Seed","6000000.0","12000000.0","Princeton, New Jersey","United States","400000000.0","http://venture-capital-firms.findthebest.com/l/49/Cardinal-Partners"
"High Country Venture LLC","Early Stage/Startup/Seed","","","Boulder, Colorado","United States","","http://venture-capital-firms.findthebest.com/l/548/High-Country-Venture-LLC"
"ARCH Venture Partners - Seattle","Early Stage/Startup/Seed","","","Seattle, Washington","United States","1500000000.0","http://venture-capital-firms.findthebest.com/l/1018/ARCH-Venture-Partners-Seattle"
"Edison Venture Fund-Lawrenceville-New Jersey","Expansion","5000000.0","10000000.0","Lawrenceville, New Jersey","United States","249000000.0","http://venture-capital-firms.findthebest.com/l/430/Edison-Venture-Fund-Lawrenceville-New-Jersey"
"New Vantage Group","Early Stage/Startup/Seed","","","McLean, Virginia","United States","","http://venture-capital-firms.findthebest.com/l/653/New-Vantage-Group"
"Warburg Pincus-San Francisco-California","Later Stage/Early Stage/Expansion/Startup/Seed","","2000000000.0","San Francisco, California","United States","30000000000.0","http://venture-capital-firms.findthebest.com/l/376/Warburg-Pincus-San-Francisco-California"
"D. E. Shaw Group, The-Cupertino-California","Early Stage","","20000000000.0","Cupertino, California","United States","28000000000.0","http://venture-capital-firms.findthebest.com/l/412/D-E-Shaw-Group-The-Cupertino-California"
"Essex Woodlands Health Ventures-Palo Alto-California","Later Stage/Expansion/Early Stage/Startup/Seed","50000000000.0","2.5e+11","Palo Alto, California","United States","2500000000.0","http://venture-capital-firms.findthebest.com/l/416/Essex-Woodlands-Health-Ventures-Palo-Alto-California"
"HMS Hawaii Management Partners","Early Stage/Later Stage/Startup/Seed","","","Honolulu, Hawaii","United States","","http://venture-capital-firms.findthebest.com/l/1147/HMS-Hawaii-Management-Partners"
"INVESCO Private Capital","Early Stage","","10000000000.0","Atlanta, Georgia","United States","4000000000.0","http://venture-capital-firms.findthebest.com/l/326/INVESCO-Private-Capital"
"McLean Watson Capital - Canada","Later Stage/Expansion/Early Stage/Startup/Seed","","","Toronto, Ontario","Canada","","http://venture-capital-firms.findthebest.com/l/1120/McLean-Watson-Capital-Canada"
"Sandbox Industries-Chicago-Illinois","Startup/Seed/Early Stage","","","Chicago, Illinois","United States","","http://venture-capital-firms.findthebest.com/l/665/Sandbox-Industries-Chicago-Illinois"
"Momentum Venture Management LLC","Early Stage","","","Altadena, California","United States","","http://venture-capital-firms.findthebest.com/l/580/Momentum-Venture-Management-LLC"
"Venrock Associates-Palo Alto","Early Stage/Startup/Seed","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/80/Venrock-Associates-Palo-Alto"
"IDG Ventures - Boston - Massachusetts","Early Stage","1000000000.0","5000000000.0","Boston, Massachusetts","United States","3700000000.0","http://venture-capital-firms.findthebest.com/l/166/IDG-Ventures-Boston-Massachusetts"
"Investor Growth Capital, Inc-New York-New York","Expansion","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/698/Investor-Growth-Capital-Inc-New-York-New-York"
"Earthrise Capital Partners","Early Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1256/Earthrise-Capital-Partners"
"Longitude Capital Management Company LLC - Greenwich - Connecticut","Later Stage/Expansion/Early Stage/Startup/Seed","10000000.0","30000000.0","Greenwich, Connecticut","United States","700000000.0","http://venture-capital-firms.findthebest.com/l/646/Longitude-Capital-Management-Company-LLC-Greenwich-Connecticut"
"Redpoint Ventures - Menlo Park - California","Expansion/Early Stage/Startup/Seed","1000000000.0","10000000000.0","Menlo Park, California","United States","2500000000.0","http://venture-capital-firms.findthebest.com/l/587/Redpoint-Ventures-Menlo-Park-California"
"Amadeus Capital Partners Ltd","Later Stage/Expansion/Early Stage/Startup/Seed","","15000000.0","London","United Kingdom","8000000.0","http://venture-capital-firms.findthebest.com/l/878/Amadeus-Capital-Partners-Ltd"
"Cervin Ventures","Startup/Seed/Early Stage","","","Newark, California","United States","","http://venture-capital-firms.findthebest.com/l/1224/Cervin-Ventures"
"Walden International-San Francisco-California","Early Stage/Expansion/Startup/Seed","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/351/Walden-International-San-Francisco-California"
"Wedbush Capital Partners","Later Stage/Expansion","2000000.0","10000000.0","Los Angeles, California","United States","120000000.0","http://venture-capital-firms.findthebest.com/l/733/Wedbush-Capital-Partners"
"FLAG Capital Management LLC - Boston","Early Stage/Startup/Seed","","","Boston, Massachusetts","United States","4600000000.0","http://venture-capital-firms.findthebest.com/l/1069/FLAG-Capital-Management-LLC-Boston"
"Bain Capital Ventures - New York - New York","Later Stage/Expansion/Early Stage/Startup/Seed","","60000000000.0","New York, New York","United States","67000000000.0","http://venture-capital-firms.findthebest.com/l/896/Bain-Capital-Ventures-New-York-New-York"
"New Science Ventures","Early Stage/Later Stage","","","New York, New York","United States","125000000.0","http://venture-capital-firms.findthebest.com/l/1342/New-Science-Ventures"
"Boston Scientific-Nanterre Cedex-France","Early Stage","","","Nanterre Cedex","France","","http://venture-capital-firms.findthebest.com/l/274/Boston-Scientific-Nanterre-Cedex-France"
"Adams Capital Management, Inc. - Austin","Early Stage","","1000000.0","Austin, Texas","United States","815000000.0","http://venture-capital-firms.findthebest.com/l/19/Adams-Capital-Management-Inc-Austin"
"Connecticut Innovations, Inc.","Early Stage/Startup/Seed/Expansion","","","Rocky Hill, Connecticut","United States","","http://venture-capital-firms.findthebest.com/l/565/Connecticut-Innovations-Inc"
"Boston Scientific-Natick-Massachusetts","Early Stage","","","Natick, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/275/Boston-Scientific-Natick-Massachusetts"
"Battery Ventures-Silicon Valley","Expansion/Early Stage/Startup/Seed","","7.5e+11","Menlo Park, California","United States","4000000000.0","http://venture-capital-firms.findthebest.com/l/800/Battery-Ventures-Silicon-Valley"
"Astellas Venture Management","Early Stage","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/1200/Astellas-Venture-Management"
"Bay City Capital LLC","Early Stage/Expansion/Later Stage/Startup/Seed","","","San Francisco, California","United States","1600000000.0","http://venture-capital-firms.findthebest.com/l/1028/Bay-City-Capital-LLC"
"Advantage Capital Partners-Crystal Springs-Mississippi","Early Stage/Expansion/Later Stage","","10000000000.0","Crystal Springs, Mississippi","United States","8000000000.0","http://venture-capital-firms.findthebest.com/l/395/Advantage-Capital-Partners-Crystal-Springs-Mississippi"
"Yaletown Venture Partners","Growth","","10000000.0","","United States","100000000.0","http://venture-capital-firms.findthebest.com/l/1435/Yaletown-Venture-Partners"
"WI Harper Group-San Francisco-California","Early Stage/Expansion","5000000.0","15000000.0","San Francisco, California","United States","750000000.0","http://venture-capital-firms.findthebest.com/l/731/WI-Harper-Group-San-Francisco-California"
"GGV Capital-Beijing-China","Expansion","5000000000.0","25000000000.0","Beijing","China","1600000000.0","http://venture-capital-firms.findthebest.com/l/512/GGV-Capital-Beijing-China"
"Edison Venture Fund-McLean-Virginia","Expansion","5000000.0","10000000.0","McLean, Virginia","United States","249000000.0","http://venture-capital-firms.findthebest.com/l/428/Edison-Venture-Fund-McLean-Virginia"
"EDF Ventures-Ada-Michigan","Early Stage/Startup/Seed","","","Ada, Michigan","United States","","http://venture-capital-firms.findthebest.com/l/431/EDF-Ventures-Ada-Michigan"
"Tugboat Ventures","Early Stage/Startup/Seed","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/844/Tugboat-Ventures"
"Morgenthaler-Boston-Massachusetts","Later Stage/Expansion/Early Stage/Startup/Seed","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/250/Morgenthaler-Boston-Massachusetts"
"F.N.B. Capital Corporation","Later Stage/Expansion","3000000000.0","10000000000.0","Wexford, Pennsylvania","United States","12000000000.0","http://venture-capital-firms.findthebest.com/l/1267/F-N-B-Capital-Corporation"
"Venrock Associates - Israel","Early Stage/Startup/Seed","","","Herzliya","Israel","","http://venture-capital-firms.findthebest.com/l/78/Venrock-Associates-Israel"
"Carlyle Group, The - Milan - Italy","Expansion/Early Stage","","","Milan","Italy","1.7e+11","http://venture-capital-firms.findthebest.com/l/464/Carlyle-Group-The-Milan-Italy"
"Black Coral Capital","Early Stage","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/1215/Black-Coral-Capital"
